ID,Title,Year,Certificate,Time,Genre,IMDB rating,Metascore,Number of vote,Movie link
tt12564744,Selena + Chef,(2020– ),TV-PG,runtime-unknow,Reality-TV,8.3,-1,1046,/title/tt12564744/?ref_=adv_li_tt
tt0086136,First Desires,(1983),No-certificate,93 min,"Drama, Romance",4.7,-1,976,/title/tt0086136/?ref_=adv_li_tt
tt10768172,Cake,(2019– ),TV-MA,runtime-unknow,"Animation, Comedy",6.3,-1,511,/title/tt10768172/?ref_=adv_li_tt
tt14330236,Mack & Rita,(2022),No-certificate,runtime-unknow,Comedy,-1,-1,-1,/title/tt14330236/?ref_=adv_li_tt
tt1330057,The Tell-Tale Heart,(I) (2008),No-certificate,21 min,"Short, Drama, Fantasy",6.8,-1,81,/title/tt1330057/?ref_=adv_li_tt
tt0115836,Carpool,(1996),PG,89 min,Comedy,5.0,15,4849,/title/tt0115836/?ref_=adv_li_tt
tt7764650,The Thinning: New World Order,(2018),No-certificate,89 min,"Action, Drama, Horror",4.0,-1,2265,/title/tt7764650/?ref_=adv_li_tt
tt0373968,Perfect Romance,(2004 TV Movie),TV-14,90 min,"Romance, Comedy",6.0,-1,673,/title/tt0373968/?ref_=adv_li_tt
tt8902990,The Sky Is Pink,(2019),No-certificate,143 min,"Drama, Romance",7.6,55,8428,/title/tt8902990/?ref_=adv_li_tt
tt3707014,Moonrise Kingdom: Animated Book Short,(2012),No-certificate,5 min,"Animation, Short, Comedy",6.9,-1,1319,/title/tt3707014/?ref_=adv_li_tt
tt0125622,"Honey, I Shrunk the Kids: The TV Show",(1997–2000),TV-PG,60 min,"Action, Adventure, Comedy",6.0,-1,1500,/title/tt0125622/?ref_=adv_li_tt
tt0074901,Mikey and Nicky,(1976),R,106 min,"Crime, Drama",7.4,81,5066,/title/tt0074901/?ref_=adv_li_tt
tt0092469,The Tracey Ullman Show,(1987–1990),No-certificate,30 min,"Comedy, Music",7.0,-1,1347,/title/tt0092469/?ref_=adv_li_tt
tt14880258,Deep,(2021),TV-MA,101 min,"Drama, Mystery, Sci-Fi",4.9,-1,1291,/title/tt14880258/?ref_=adv_li_tt
tt3578112,Great Canal Journeys,(2014– ),No-certificate,runtime-unknow,Documentary,8.8,-1,305,/title/tt3578112/?ref_=adv_li_tt
tt8019790,Apple & Onion,(2016–2021),TV-Y7,11 min,"Animation, Short, Adventure",5.5,-1,1673,/title/tt8019790/?ref_=adv_li_tt
tt14303882,The Pilot. A Battle for Survival,(2021),No-certificate,105 min,"Biography, Drama, History",6.5,-1,330,/title/tt14303882/?ref_=adv_li_tt
tt0055719,The 300 Spartans,(1962),Approved,114 min,"Adventure, Drama, History",6.6,-1,7015,/title/tt0055719/?ref_=adv_li_tt
tt1268987,Operation: Endgame,(2010),R,87 min,"Action, Comedy",4.9,-1,10515,/title/tt1268987/?ref_=adv_li_tt
tt0053182,Porgy and Bess,(1959),Not Rated,138 min,"Drama, Musical, Romance",7.1,77,1704,/title/tt0053182/?ref_=adv_li_tt
tt0114086,Beyond the Clouds,(1995),Not Rated,110 min,"Drama, Romance",6.5,66,5803,/title/tt0114086/?ref_=adv_li_tt
tt2295953,Primeval: New World,(2012–2013),No-certificate,42 min,"Action, Adventure, Drama",6.6,-1,4534,/title/tt2295953/?ref_=adv_li_tt
tt4435072,Liger,(2022),No-certificate,runtime-unknow,"Action, Drama, Romance",-1,-1,-1,/title/tt4435072/?ref_=adv_li_tt
tt0038166,The Three Caballeros,(1944),Approved,71 min,"Animation, Comedy, Family",6.4,85,13700,/title/tt0038166/?ref_=adv_li_tt
tt4083422,Doraemon,(2005– ),TV-PG,30 min,"Animation, Comedy, Drama",8.3,-1,2621,/title/tt4083422/?ref_=adv_li_tt
tt12105192,What to Watch,(2020– ),No-certificate,runtime-unknow,"Documentary, Reality-TV, Talk-Show",5.8,-1,139,/title/tt12105192/?ref_=adv_li_tt
tt0078692,Star Blazers,(1979–1984),No-certificate,22 min,"Animation, Action, Adventure",8.4,-1,1313,/title/tt0078692/?ref_=adv_li_tt
tt3463606,Welcome to Sweden,(2014–2015),TV-PG,30 min,Comedy,6.6,-1,5473,/title/tt3463606/?ref_=adv_li_tt
tt4273562,Yu-Gi-Oh!: The Dark Side of Dimensions,(2016),PG,130 min,"Animation, Adventure, Drama",7.0,-1,2938,/title/tt4273562/?ref_=adv_li_tt
tt0094082,Suspect,(1987),R,121 min,"Crime, Drama, Thriller",6.6,53,10207,/title/tt0094082/?ref_=adv_li_tt
tt0048703,Ten Wanted Men,(1955),Approved,80 min,"Romance, Western",6.0,-1,1219,/title/tt0048703/?ref_=adv_li_tt
tt7932896,Sen Anlat Karadeniz,(2018–2019),TV-14,150 min,Drama,5.7,-1,2232,/title/tt7932896/?ref_=adv_li_tt
tt6874254,Out of Blue,(2018),Unrated,109 min,"Crime, Drama, Mystery",4.8,49,1873,/title/tt6874254/?ref_=adv_li_tt
tt0110896,Private Lessons: Another Story,(1994),R,86 min,Drama,4.3,-1,270,/title/tt0110896/?ref_=adv_li_tt
tt5831402,The Feels,(2017),TV-MA,90 min,"Comedy, Romance",5.1,-1,2058,/title/tt5831402/?ref_=adv_li_tt
tt3816458,Dead Rising: Watchtower,(2015),Not Rated,118 min,"Action, Horror",5.2,-1,8938,/title/tt3816458/?ref_=adv_li_tt
tt0024593,Son of Kong,(1933),Passed,70 min,"Adventure, Family, Horror",5.7,50,4552,/title/tt0024593/?ref_=adv_li_tt
tt3069212,Street Fighter: Assassin's Fist,(2014),TV-14,152 min,"Action, Adventure, Drama",7.3,-1,10280,/title/tt3069212/?ref_=adv_li_tt
tt0079336,The In-Laws,(1979),PG,103 min,"Action, Adventure, Comedy",7.3,69,8616,/title/tt0079336/?ref_=adv_li_tt
tt0055805,Boccaccio '70,(1962),Unrated,205 min,"Comedy, Fantasy, Romance",7.1,-1,4383,/title/tt0055805/?ref_=adv_li_tt
tt6162808,Miss Saigon: 25th Anniversary,(2016),R,141 min,"Drama, Musical, Romance",8.2,-1,1649,/title/tt6162808/?ref_=adv_li_tt
tt0463827,Mock the Week,(2005– ),TV-14,29 min,"Comedy, Game-Show",7.8,-1,8053,/title/tt0463827/?ref_=adv_li_tt
tt7875948,Lake Placid: Legacy,(2018 TV Movie),R,93 min,"Action, Horror, Sci-Fi",3.4,-1,2210,/title/tt7875948/?ref_=adv_li_tt
tt4255166,American Horror Story FreakShow: Extra-Ordinary-Artists,(2014),No-certificate,4 min,Documentary,8.0,-1,1487,/title/tt4255166/?ref_=adv_li_tt
tt0006864,Intolerance,(1916),Passed,197 min,"Drama, History",7.7,99,15232,/title/tt0006864/?ref_=adv_li_tt
tt0078678,Roots: The Next Generations,(1979),No-certificate,840 min,"Biography, Drama, History",7.8,-1,2554,/title/tt0078678/?ref_=adv_li_tt
tt0494232,Halo 3,(2007 Video Game),M,runtime-unknow,"Action, Adventure, Sci-Fi",8.8,-1,11423,/title/tt0494232/?ref_=adv_li_tt
tt0048696,Tarantula,(1955),Approved,80 min,"Horror, Sci-Fi",6.5,-1,9525,/title/tt0048696/?ref_=adv_li_tt
tt10417586,O Maidens in Your Savage Season,(2019– ),TV-14,24 min,"Animation, Comedy, Drama",7.4,-1,638,/title/tt10417586/?ref_=adv_li_tt
tt6340604,Burn Out,(I) (2017),TV-MA,107 min,"Action, Crime, Thriller",6.2,-1,3621,/title/tt6340604/?ref_=adv_li_tt
tt1336911,Tangle,(2009–2012),TV-14,60 min,Drama,7.6,-1,581,/title/tt1336911/?ref_=adv_li_tt
tt8230448,A Gentleman in Moscow,,No-certificate,runtime-unknow,Drama,-1,-1,-1,/title/tt8230448/?ref_=adv_li_tt
tt3834000,Spotless,(2015),TV-MA,60 min,"Crime, Drama",7.8,-1,3596,/title/tt3834000/?ref_=adv_li_tt
tt9106672,When Hitler Stole Pink Rabbit,(2019),No-certificate,119 min,"Biography, Drama, Family",7.0,54,2233,/title/tt9106672/?ref_=adv_li_tt
tt0383206,Barbie of Swan Lake,(2003 Video),TV-Y,81 min,"Animation, Family",6.5,-1,5573,/title/tt0383206/?ref_=adv_li_tt
tt5595238,In Tandem,(2016– ),No-certificate,52 min,"Crime, Drama, Mystery",6.9,-1,128,/title/tt5595238/?ref_=adv_li_tt
tt13304948,Bram Stoker's Van Helsing,(2021),No-certificate,85 min,Horror,3.5,-1,451,/title/tt13304948/?ref_=adv_li_tt
tt3528666,The Marine 4: Moving Target,(2015 Video),R,90 min,"Action, Crime, Drama",5.2,-1,3590,/title/tt3528666/?ref_=adv_li_tt
